ArMatrix LP-30 (L);Pistol;Laser;28.6;47;65;35.4;0.828;1021;11.038;65.00;117.48%;2.959;64.0;Yes;Crafted; 
ArMatrix LP-35 (L);Pistol;Laser;28.6;52;65;39.2;0.920;1126;12.180;75.00;121.33%;2.967;64.4;Yes;Crafted; 
ArMatrix LP-40 (L);Pistol;Laser;28.6;59;65;44.4;1.034;1275;13.784;85.00;115.00%;2.975;64.8;Yes;Crafted; 
ArMatrix LP-45 (L);Pistol;Laser;28.6;65;65;48.9;1.138;1403;15.168;95.00;113.00%;2.978;65.2;Yes;Crafted; 
ArMatrix LP-50 (L);Pistol;Laser;28.6;71;65;53.5;1.240;1529;16.530;105.00;114.45%;2.985;65.6;Yes;Crafted; 
ArMatrix LP-55 (L);Pistol;Laser;28.6;74;65;55.7;1.290;1591;17.200;115.00;136.66%;2.990;66.0;Yes;Crafted; 
ArMatrix LP-60 (L);Pistol;Laser;28.6;78;65;58.7;1.358;1674;18.098;125.00;122.40%;2.995;66.4;Yes;Crafted; 
ArMatrix LP-65 (L);Pistol;Laser;28.6;82;65;61.7;1.425;1757;18.995;135.00;134.81%;3.000;66.8;Yes;Crafted; 
ArMatrix LP-70 (L);Pistol;Laser;28.6;84;65;63.2;1.458;1797;19.428;145.00;126.95%;3.005;67.2;Yes;Crafted; 
ArMatrix LP-70, FEN Edition;Pistol;Laser;28.6;86.1;65;64.8;1.312;1617;17.482;145.00;0;3.423;92.2;Yes;FEN Token Trader; 
ArMatrix LP-70, FEN Edition (L);Pistol;Laser;28.6;86.1;65;64.8;1.312;1617;17.482;145.00;0;3.423;92.2;Yes;FEN Token Trader; 
ArMatrix LP-75 (L);Pistol;Laser;28.6;87;65;65.5;1.505;1858;20.085;155.00;150.97%;3.010;67.6;Yes;Crafted; 
ArMatrix LP-80 (L);Pistol;Laser;28.6;91;65;68.5;1.574;1941;20.984;165.00;163.03%;3.014;68.0;Yes;Crafted; 
ArMatrix LP-85 (L);Pistol;Laser;28.6;94;65;70.8;1.296;1998;21.276;175.00;154.29%;3.071;68.4;Yes;Crafted; 
ArMatrix LP-90 (L);Pistol;Laser;28.6;97;65;73.0;0;2058;0;185.00;0;0;68.8;Yes;Crafted; 
ArMatrix LP-95 (L);Pistol;Laser;28.6;100;65;75.3;0;2118;0;195.00;0;0;69.2;Yes;Crafted; 
ArMatrix LP-100 (L);Pistol;Laser;28.6;104;65;78.3;1.772;2198;23.752;205.00;140.00%;3.043;69.6;Yes;Crafted; 
ArMatrix LP-105 (L);Pistol;Laser;28.6;107;65;80.6;0;2258;0;215.00;0;0;70.0;Yes;Crafted; 
ArMatrix LR-10 (L);Rifle;Laser;85.8;35;48;19.5;0.620;764;8.260;25.00;128.00%;2.945;62.4;Yes;Crafted; 
ArMatrix LR-15 (L);Rifle;Laser;85.8;42;48;23.4;0.743;916;9.903;35.00;122.86%;2.948;62.8;Yes;Crafted; 
ArMatrix LR-20 (L);Rifle;Laser;85.8;49;48;27.2;0.866;1068;11.546;45.00;117.78%;2.950;63.2;Yes;Crafted; 
ArMatrix LR-25 (L);Rifle;Laser;85.8;56;48;31.1;0.989;1220;13.189;55.00;121.82%;2.951;63.6;Yes;Crafted; 
ArMatrix LR-30 (L);Rifle;Laser;85.8;63;48;35.0;1.110;1369;14.800;65.00;123.08%;2.958;64.0;Yes;Crafted; 
ArMatrix LR-35 (L);Rifle;Laser;85.8;70;48;38.9;1.230;1516;16.390;75.00;121.33%;2.968;64.4;Yes;Crafted; 
ArMatrix LR-40 (L);Rifle;Laser;85.8;79;48;43.9;1.385;1708;18.465;85.00;114.00%;2.973;64.8;Yes;Crafted; 
ArMatrix LR-40, FEN Edition;Carbine;Laser;85.8;79;48;43.9;1.249;1537;16.619;85.00;0;3.304;79.8;Yes;FEN Token Trader; 
ArMatrix LR-40, FEN Edition (L);Carbine;Laser;85.8;79;48;43.9;1.247;1537;16.617;85.00;0;3.304;79.8;Yes;FEN Token Trader; 
ArMatrix LR-45 (L);Rifle;Laser;85.8;88;48;48.9;1.540;1900;20.540;95.00;119.02%;2.978;65.2;Yes;Crafted; 
ArMatrix LR-50 (L);Rifle;Laser;85.8;96;48;53.4;1.677;2068;22.357;105.00;138.10%;2.984;65.6;Yes;Crafted; 
ArMatrix LR-55 (L);Rifle;Laser;85.8;101;48;56.2;1.760;2172;23.480;115.00;155.00%;2.990;66.0;Yes;Crafted; 
ArMatrix LR-60 (L);Rifle;Laser;85.8;106;48;58.9;1.840;2276;24.600;125.00;151.20%;2.995;66.4;Yes;Crafted; 
ArMatrix LR-65 (L);Rifle;Laser;85.8;110;48;61.2;1.912;2358;25.492;135.00;140.74%;2.999;66.8;Yes;Crafted; 
ArMatrix LR-70 (L);Rifle;Laser;85.8;114;48;63.4;1.977;2440;26.377;145.00;155.17%;3.004;67.2;Yes;Crafted; 
ArMatrix LR-75 (L);Rifle;Laser;85.8;118;48;65.6;2.043;2521;27.253;155.00;141.29%;3.009;67.6;Yes;Crafted; 
ArMatrix LR-80 (L);Rifle;Laser;85.8;123;48;68.4;0;2624;0;165.00;154.55%;0;68.0;Yes;Crafted; 
ArMatrix LR-85 (L);Rifle;Laser;85.8;127;48;70.6;2.189;2700;29.189;175.00;162.86%;3.024;68.4;Yes;Crafted; 
ArMatrix LR-90 (L);Rifle;Laser;85.8;131;48;72.8;2.255;2780;30.055;185.00;154.05%;3.029;68.8;Yes;Crafted; 
ArMatrix LR-95 (L);Rifle;Laser;85.8;135;48;75.1;2.320;2860;30.920;195.00;159.49%;3.034;69.2;Yes;Crafted; 
ArMatrix LR-100 (L);Rifle;Laser;85.8;140;48;77.8;2.393;2960;31.993;205.00;0;3.041;69.6;Yes;Crafted; 
ArMatrix LR-105 (L);Rifle;Laser;85.8;144;48;80.1;2.464;3040;32.864;215.00;150.00%;3.045;70.0;Yes;Crafted; 
ArMatrix SB-10 (L);Melee;Shortblades;5.0;22.4;76;19.7;0.398;491;5.308;25.00;124.00%;2.933;62.4;Yes;Crafted; 
ArMatrix SB-10, FEN Edition;Melee;Shortblades;5.0;22.4;76;19.7;0.398;491;5.308;25.00;0;2.933;72.4;Yes;FEN Token Trader; 
ArMatrix SB-10, FEN Edition (L);Melee;Shortblades;5.0;22.4;76;19.7;0;491;0;25.00;0;0;72.4;Yes;FEN Token Trader; 
ArMatrix SB-15 (L);Melee;Shortblades;5.0;26.2;76;23.1;0.464;572;6.184;35.00;110.00%;2.945;62.8;Yes;Crafted; 
ArMatrix SB-20 (L);Melee;Shortblades;5.0;31.2;76;27.5;0.552;680;7.352;45.00;117.78%;2.949;63.2;Yes;Crafted; 
ArMatrix SB-25 (L);Melee;Shortblades;5.0;35;76;30.8;0.617;760;8.217;55.00;118.18%;2.960;63.6;Yes;Crafted; 
ArMatrix SB-30 (L);Melee;Shortblades;5.0;40;76;35.2;0.703;867;9.373;65.00;112.31%;2.966;64.0;Yes;Crafted; 
ArMatrix SB-35 (L);Melee;Shortblades;5.0;44.3;76;39.0;0.705;958;10.285;75.00;117.33%;2.994;64.4;Yes;Crafted; 
ArMatrix SB-40 (L);Melee;Shortblades;5.0;50;76;44.0;0.876;1080;11.676;85.00;120.00%;2.976;64.8;Yes;Crafted; 
ArMatrix SB-45 (L);Melee;Shortblades;5.0;56.2;76;49.5;0.983;1212;13.103;95.00;132.00%;2.981;65.2;Yes;Crafted; 
ArMatrix SB-50 (L);Melee;Shortblades;5.0;61.2;76;53.9;1.060;1318;14.240;105.00;123.81%;2.987;65.6;Yes;Crafted; 
ArMatrix SB-55 (L);Melee;Shortblades;5.0;63.8;76;56.2;1.112;1371;14.822;115.00;119.03%;2.992;66.0;Yes;Crafted; 
ArMatrix SB-60 (L);Melee;Shortblades;5.0;67.6;76;59.5;1.176;1450;15.676;125.00;136.00%;2.997;66.4;Yes;Crafted; 
ArMatrix SB-65 (L);Melee;Shortblades;5.0;70;76;61.6;1.217;1500;16.217;135.00;0;3.000;66.8;Yes;Crafted; 
ArMatrix SB-70 (L);Melee;Shortblades;5.0;72.4;76;63.7;0;1550;0;145.00;136.55%;0;67.2;Yes;Crafted; 
ArMatrix SB-75 (L);Melee;Shortblades;5.0;75;76;66.0;0;1600;0;155.00;0;0;67.6;Yes;Crafted; 
Arsonistic Chip 1 (L);Mindforce;Pyro;50.6;100;5;5.8;3.999;2040;24.399;24.00;111.08%;2.848;54.7;Yes;Looted; 
Arsonistic Chip 2 (L);Mindforce;Pyro;52.8;200;5;11.6;7.000;4170;48.700;34.00;120.00%;2.854;55.2;Yes;Looted; 
Arsonistic Chip 3 (L);Mindforce;Pyro;55.0;300;5;17.4;10.800;6200;72.800;44.00;144.00%;2.864;55.9;Yes;Looted; 
Arsonistic Chip 3, TEN Edition;Mindforce;Pyro;60.5;300;5;17.4;10.500;6000;70.500;44.00;0;2.957;62.9;Yes;Looted; 
Arsonistic Chip 3, TEN Edition (L);Mindforce;Pyro;60.5;300;5;17.4;10.500;6000;70.500;44.00;130.00%;2.957;62.9;Yes;Looted; 
Arsonistic Chip 4 (L);Mindforce;Pyro;58.3;400;5;23.2;13.500;8330;96.800;54.00;192.00%;2.872;56.5;Yes;Looted; 
Arsonistic Chip 4, Adjusted (L);Mindforce;Pyro;0;0;0;0;0;0;0;0;0;0;0;Yes;Looted; 
Arsonistic Chip 4, FEN Edition;Mindforce;Pyro;64.1;420;5;24.3;12.149;7497;87.119;54.00;0;3.351;86.4;Yes;FEN Token Trader; 
Arsonistic Chip 4, FEN Edition (L);Mindforce;Pyro;64.1;420;5;24.3;12.160;7497;87.130;54.00;0;3.350;86.4;Yes;FEN Token Trader; 
Arsonistic Chip 5 (L);Mindforce;Pyro;60.5;500;4;23.2;0;10380;0;64.00;225.00%;0;56.8;Yes;Looted; 
Arsonistic Chip 6 (L);Mindforce;Pyro;62.7;600;4;27.8;22.900;12250;145.400;74.00;300.00%;2.868;56.2;Yes;Looted; 
Arsonistic Chip 6, Adjusted (L);Mindforce;Pyro;0;0;0;0;0;0;0;0;0;0;0;Yes;0; 
Arsonistic Chip 7 (L);Mindforce;Pyro;64.9;700;5;40.5;0;14300;0;84.00;0;0;0;Yes;Looted; 
Arsonistic Chip 8 (L);Mindforce;Pyro;0;0;0;0;0;0;0;0;0;0;0;Yes;Looted; 
Arsonistic Chip 9 (L);Mindforce;Pyro;42.2;900;3;31.3;0;18300;0;104.00;0;0;55.8;Yes;Looted; 
Arsonistic Chip 10 (L);Mindforce;Pyro;79.2;1000;3;34.8;0;20100;0;114.00;400.00%;0;57.8;Yes;Looted; 
Asl Crash (L);Melee;Clubs;5.0;38;56;24.6;0;0;0;70.00;0;0;57.1;Yes;Crafted; 
Asl Dash (L);Melee;Clubs;6.0;57;56;37.0;13.750;0;13.750;75.00;100.00%;2.881;57.1;Yes;Crafted; 
Asl Smash (L);Melee;Clubs;7.0;71;56;46.1;0;0;0;80.00;0;0;57.5;Yes;Crafted; 
Assassin R150;Rifle;BLP;56.1;63;53;38.7;4.747;1100;15.747;13704.00;25000.00 PED;2.781;49.9;Yes;Looted; 
Assassin R150 (L);Rifle;BLP;56.1;63;53;38.7;4.511;1100;15.511;289.00;0;2.823;52.9;Yes;Looted; 
Assassin R150, Adjusted (L);Rifle;BLP;63.8;68;52;41.0;4.521;1200;16.521;1023.00;0;2.861;55.6;Yes;Looted; 
Assault Rifle (FA) (L);Rifle;BLP;82.5;2;34;0.8;0.081;41;0.491;0.14;0;2.831;53.5;Yes;Thing TT; 
B.A.M.F. Marine Chainsaw (L);Melee;Longblades;9.0;34;37;14.6;8.166;0;8.166;294.00;0;2.894;58.1;Yes;Crafted; 
B.A.M.F. Rustic Chainsaw (L);Melee;Longblades;9.0;20;37;8.6;4.808;0;4.808;173.00;0;2.891;57.9;Yes;Crafted; 
B.A.M.F Bloody Chainsaw (L);Melee;Longblades;12.0;56;37;24.0;13.422;0;13.422;484.00;0;2.900;58.5;Yes;Crafted; 
B.A.M.F Cute Chainsaw (L);Melee;Longblades;8.0;12;37;5.1;0;0;0;104.00;0;0;57.8;Yes;Crafted; 
B.A.M.F Golden Chainsaw (L);Melee;Longblades;12.0;76;41;36.1;0;0;0;654.00;0;0;59.5;Yes;Crafted; 
B.A.M.F ZA1 (L);Rifle;BLP;37.4;11;40;5.1;0.479;221;2.689;5.00;140.00%;2.843;54.4;Yes;Looted; 
B.A.M.F ZA2 (L);Rifle;BLP;37.4;18;41;8.5;0.773;363;4.403;12.50;110.00%;2.841;54.2;Yes;Looted; 
B.A.M.F ZA3 (L);Rifle;BLP;38.5;24;41;11.4;1.041;483;5.871;21.50;115.00%;2.841;54.2;Yes;Looted; 
B.A.M.F ZA7 (L);Rifle;BLP;0;0;0;0;0;0;0;0;0;0;0;0;Looted; 
B.A.M.F ZK1;Rifle;BLP;31.9;16;44;8.2;0;280;0;5.90;0;0;54.3;Yes;Looted; 
B.A.M.F ZK1 (L);Rifle;BLP;33.0;16;44;8.2;1.100;280;3.900;5.30;0;2.851;54.9;Yes;Looted; 
B.A.M.F ZK2;Rifle;BLP;33.0;24;44;12.2;0;460;0;8.00;0;0;53.5;Yes;Looted; 
B.A.M.F ZK2 (L);Rifle;BLP;34.1;24;45;12.5;1.270;460;5.870;8.40;2935.00%;2.842;54.2;Yes;Looted; 
B.A.M.F ZK2 (L) Custom;Rifle;BLP;36.3;24;47;13.1;1.040;480;5.840;20.00;0;2.856;55.3;Yes;Looted; 
B.A.M.F ZK3 (L);Rifle;BLP;33.0;31;45;16.2;1.386;620;7.586;11.50;123.00%;2.840;54.1;Yes;Looted; 
B.A.M.F ZK4 (L);Rifle;BLP;34.1;36;45;18.8;1.540;730;8.840;18.40;125.00%;2.830;53.4;Yes;Looted; 
B.A.M.F ZK5 (L);Rifle;BLP;34.1;42;44;21.4;0;830;0;25.30;0;0;53.0;Yes;Looted; 
B.A.M.F ZK5 (L) Custom;Rifle;BLP;36.3;42;46;22.4;1.695;860;10.295;45.30;0;2.835;53.8;Yes;Looted; 
B.A.M.F ZK6 (L);Rifle;BLP;34.1;49;44;25.0;2.180;990;12.080;46.00;104.00%;2.819;52.6;Yes;Looted; 
B.A.M.F ZK7;Rifle;BLP;34.1;57;43;28.4;2.679;1150;14.179;64.00;0;2.794;50.9;Yes;Event; 
B.A.M.F ZK7 (L);Rifle;BLP;35.2;57;44;29.1;2.570;1150;14.070;68.00;555.00%;2.816;52.4;Yes;Looted; 
B.A.M.F ZK8 (L);Rifle;BLP;33.0;67;44;34.1;2.741;1380;16.541;88.00;143.00%;2.815;52.4;Yes;Looted; 
B.A.M.F ZK9 (L);Rifle;BLP;33.0;74;44;37.7;3.170;1510;18.270;121.00;121.00%;2.815;52.4;Yes;Looted; 
B.A.M.F ZK10 (L);Rifle;BLP;33.0;113;44;57.6;2.955;2500;27.955;214.00;129.00%;2.809;52.0;Yes;Looted; 
B.E. Imperium Carbine (L);Carbine;Plasma;42.2;9;44;4.6;0;150;0;30.00;0;0;57.3;Yes;Crafted; 
B.E. Pilot Pistol (L);Pistol;Laser;24.2;5;70;4.1;0;71;0;21.00;0;0;57.3;Yes;Crafted; 
B.E. Redstar Smasher (L);Melee;Clubs;5.0;12;27;3.8;0;0;0;120.00;0;0;57.3;Yes;Crafted; 
B.E. Zekkonian Claw (L);Melee;Power Fist;4.0;5;70;4.1;0;0;0;40.00;0;0;57.3;Yes;Crafted; 
B.E. Zekkonian Longblade (L);Melee;Longblades;5.0;16;24;4.4;0;0;0;160.00;0;0;57.3;Yes;Crafted; 
B.E. Zekkonian Shortblade (L);Melee;Shortblades;4.0;5;63;3.6;0;0;0;50.00;0;0;57.3;Yes;Crafted; 
B.E. Zekkonian Short Sword (L);Melee;Longblades;5.0;8;48;4.4;0;0;0;80.00;0;0;57.3;Yes;Crafted; 
Baringer SR33;Rifle;BLP;150.0;100;13;15.1;2.300;2500;27.300;145.00;0;2.546;35.1;Yes;Looted; 
Baringer SR35;Rifle;BLP;150.0;87;13;13.1;1.750;2000;21.750;70.00;12000.00 PED;2.780;49.9;Yes;Looted; 
Baringer SR36;Rifle;BLP;152.0;93;14;15.1;2.750;2100;23.750;70.00;0;2.721;46.0;Yes;Looted; 
Baringer SR37;Rifle;BLP;150.0;99;15;17.2;2.000;2300;25.000;80.00;0;2.752;48.0;Yes;Looted; 
Baringer SR47;Rifle;BLP;165.0;112;15;19.5;2.200;2500;27.200;145.00;0;2.862;55.7;Yes;Looted; 
Baringer SR51;Rifle;BLP;160.0;122;16;22.6;4.000;2500;29.000;145.00;2205.00 PED;2.924;60.3;Yes;Looted; 
Baringer SR60;Rifle;BLP;175.0;225;7;18.2;30.000;2300;53.000;225.00;0;2.950;62.4;Yes;Instance; 
BatSim Photonic R1 (L);Pistol;BLP;48.4;24;52;14.5;0.020;568;5.700;2.00;0;2.926;60.5;Yes;BatSim; 
BatSim Photonic R2 (L);Pistol;BLP;48.4;48;52;28.9;0.020;1138;11.400;2.00;0;2.926;60.5;Yes;BatSim; 
BatSim Photonic R3 (L);Pistol;BLP;48.4;72;52;43.4;0.020;1708;17.100;2.00;3000.00%;2.926;60.5;Yes;BatSim; 
BatSim Photonic R4 (L);Pistol;BLP;48.4;96;52;57.8;0.020;2278;22.800;2.00;0;2.926;60.5;Yes;BatSim; 
Battle Axe (L);Melee;LongBlades;7.0;6.1;33;2.3;0.030;0;0;15.00;0;0;57.4;Yes;TT AG; 
Beat Cop Extendable Baton (L);Melee;Clubs;6.0;49;25;14.2;0;0;0;49.00;0;0;55.7;Yes;Looted; 
Beat Cop Nightstick (L);Melee;Clubs;6.0;34;23;9.1;8.300;0;8.300;34.00;0;2.847;54.6;Yes;Looted; 
Bent Pirates Pistol (L);Pistol;BLP;19.8;16;69;12.8;0;350;0;31.00;0;0;56.3;Yes;Looted; 
Bevis Fire Fire;Flamethrower;BLP;13.2;18;74;15.4;2.200;215;4.350;44.00;0;2.876;56.7;Yes;Looted; 
Bicak Blix;Melee;Shortblades;3.0;59;52;35.5;14.568;0;14.568;8912.00;0;2.815;52.3;Yes;Looted; 
Bicak Blix (L);Melee;Shortblades;3.0;59;52;35.5;14.393;0;14.393;895.00;0;2.849;54.8;Yes;Looted; 
Bicak Kek;Melee;Shortblades;3.0;35;49;19.9;8.647;0;8.647;4160.00;0;2.813;52.2;Yes;Looted; 
Bicak Kek (L);Melee;Shortblades;3.0;35;49;19.9;8.543;0;8.543;490.00;0;2.847;54.7;Yes;Looted; 
Bicak Kex (L);Melee;Shortblades;5.0;34;54;21.3;8.275;0;8.275;75.00;0;2.856;55.3;Yes;Looted; 
Bicak Kwel (L);Melee;Shortblades;5.0;42;57;27.7;10.180;0;10.180;101.00;101.02%;2.867;56.1;Yes;Looted; 
Bicak Mak (L);Melee;Shortblades;5.0;29;52;17.5;7.070;0;7.070;63.00;0;2.851;0;Yes;Looted; 
Bicak Rex (L);Melee;Shortblades;5.0;49;58;32.9;11.850;0;11.850;118.00;0;2.874;56.6;Yes;Looted; 
Bicak Vix (L);Melee;Shortblades;5.0;38;56;24.6;9.240;0;9.240;89.00;0;2.858;55.5;Yes;Looted; 
Binary Mayhem P1 (L);Pistol;BLP;26.4;16;56;10.4;0.190;360;3.790;7.85;0;2.934;61.1;Yes;Looted; 
Binary Mayhem P2 (L);Pistol;BLP;28.6;30;56;19.5;0.360;674;7.100;14.85;0;2.937;61.3;Yes;Looted; 
Binary Mayhem P3 (L);Pistol;BLP;30.8;39;56;25.3;0.470;876;9.230;19.40;0;2.937;61.3;Yes;Looted; 
Binary Mayhem P4 (L);Pistol;BLP;33.0;52;56;33.7;0.620;1168;12.300;25.60;0;2.938;61.4;Yes;Looted; 
Binary Mayhem P5 (L);Pistol;BLP;35.2;72;56;46.7;0.860;1618;17.040;35.50;0;2.937;61.3;Yes;Looted; 
Binary Mayhem P6 (L);Pistol;BLP;37.4;92;56;59.7;1.100;2068;21.780;45.40;0;2.936;61.2;Yes;Looted; 
Binary Mayhem P7 (L);Pistol;BLP;39.6;103;56;66.8;1.230;2317;24.400;50.75;0;2.934;61.1;Yes;Looted; 
Binary Mayhem R1 (L);Rifle;BLP;55.0;19;44;9.7;0.225;427;4.495;9.30;0;2.938;61.4;Yes;Looted; 
Binary Mayhem R2 (L);Rifle;BLP;57.2;33;44;16.8;0.400;741;7.810;16.50;0;2.937;61.3;Yes;Looted; 
Binary Mayhem R3 (L);Rifle;BLP;59.4;46;44;23.4;0.550;1034;10.890;22.70;0;2.936;61.2;Yes;Looted; 
Binary Mayhem R4 (L);Rifle;BLP;61.6;58;44;29.6;0.700;1303;13.730;28.90;0;2.936;61.2;Yes;Looted; 
Binary Mayhem R5 (L);Rifle;BLP;63.8;80;44;40.8;0.950;1797;18.920;39.60;0;2.939;61.3;Yes;Looted; 
Binary Mayhem R6 (L);Rifle;BLP;66.0;106;44;54.0;1.260;2384;25.100;52.00;0;2.935;61.2;Yes;Looted; 
Binary Mayhem R7 (L);Rifle;BLP;77.0;122;44;62.2;1.460;2742;28.880;60.25;110.00%;2.936;61.3;Yes;Looted; 
Bird Of Prey Jareh (L);Melee;Longblades;9.0;49;44;25.0;0;0;0;80.00;0;0;56.8;Yes;Crafted; 
BirdOfPrey Kaser (L);Melee;Longblades;9.0;67;44;34.1;0;0;0;95.00;0;0;56.8;Yes;Crafted; 
BirdOfPrey Tayer (L);Melee;Longblades;9.0;79;44;40.3;0;0;0;110.00;0;0;56.8;Yes;Crafted; 
Blood Red Star Stunna (L);Rifle;BLP;22.0;22;83;21.2;0;429;0;25.00;0;0;57.8;Yes;Token Trader;Deceleration 100% duration 0.3s
Blood Red Sticky Laucher (L);Support;Grenade;131.9;35;37;15.0;0;742;0;25.00;0;0;57.7;Yes;Token Trader;34% Deceleration on hit
Blood Red Turrelion Spec Flamebather (L);Flamethrower;BLP;16.5;44;83;42.3;0;958;0;25.00;0;0;57.8;Yes;Token Trader;Burn 75% of Damage 3.0sec
Blood Red Xent Tech Freeze Ray (L);Rifle;BLP;71.5;58;22;14.8;0;1295;0;25.00;0;0;57.8;Yes;Token Trader;50% Deceleration on hit 4.5sec
Bloodstained Axe 10 (L);Melee;Clubs;8.0;35;41;16.6;0;0;0;87.00;0;0;59.9;Yes;Looted; 
Bloodstained Axe 17 (L);Melee;Clubs;8.0;50;41;23.7;0;0;0;124.00;0;0;60.0;Yes;Looted; 
Bloodstained Axe 24 (L);Melee;Clubs;8.0;64;41;30.4;15.364;0;15.364;159.00;0;2.895;60.0;Yes;Looted; 
Bloodstained Axe 30 (L);Melee;Clubs;8.0;76;41;36.1;0;0;0;375.00;0;0;60.0;Yes;Looted; 
Bloodstained Axe 35 (L);Melee;Clubs;8.0;83;40;38.5;0;0;0;408.00;0;0;60.1;Yes;Looted; 
Bloodstained Axe 40 (L);Melee;Clubs;8.0;87;43;43.3;0;0;0;428.00;0;0;60.1;Yes;Looted; 
Bloodstained Axe 45 (L);Melee;Clubs;8.0;95;43;47.3;22.608;0;22.608;468.00;0;2.920;60.1;Yes;Looted; 
Bloodstained Axe 50 (L);Melee;Clubs;8.0;101;43;50.3;24.000;0;24.000;595.00;0;2.925;60.1;Yes;Looted; 
Bloodstained Axe 55 (L);Melee;Clubs;8.0;106;43;52.8;0;0;0;624.00;0;0;60.2;Yes;Looted; 
Bloodstained Axe 60 (L);Melee;Clubs;0;0;0;0;0;0;0;0;0;0;0;0;Looted; 
Boxing Glove (L);Melee;Power Fist;3.0;5;80;4.6;1.202;0;1.202;10.00;0;2.891;57.9;Yes;ROCKtropia TT; 
Breer H31a (L);Pistol;Laser;33.0;50;66;38.2;2.225;1000;12.225;160.00;130.00%;2.843;54.3;Yes;Crafted; 
Breer L20c (L);Carbine;Laser;51.7;60;41;28.5;2.715;1193;14.645;175.00;0;2.847;54.7;Yes;Crafted; 
Breer L72c (L);Carbine;Laser;0;93;60;64.6;0;1943;0;250.00;0;0;0;Yes;Crafted; 
Breer M1a;Carbine;Laser;59.4;14;32;5.2;0.484;300;3.484;556.00;0;2.793;50.8;Yes;Crafted; 
Breer M1a (L);Carbine;Laser;59.4;14;32;5.2;0.426;300;3.426;22.30;0;2.840;54.3;Yes;Crafted; 
Breer M2a;Carbine;Laser;60.5;19;34;7.5;0.679;400;4.679;1696.00;0;2.822;52.9;Yes;Crafted; 
Breer M2a (L);Carbine;Laser;60.5;19;34;7.5;0.598;400;4.598;39.00;0;2.872;56.5;Yes;Crafted; 
Breer M3a;Carbine;Laser;62.7;20;33;7.6;0.930;400;4.930;2418.00;1050.00 PED;2.819;52.7;Yes;Crafted; 
Breer M3a (L);Carbine;Laser;62.7;20;33;7.6;0.845;400;4.845;43.50;0;2.869;56.2;Yes;Crafted; 
Breer M4a;Carbine;Laser;61.6;37;37;15.9;2.198;700;9.198;5110.00;0;2.796;51.0;Yes;Crafted; 
Breer M4a (L);Carbine;Laser;61.6;37;37;15.9;2.038;700;9.038;175.60;0;2.845;54.5;Yes;Crafted; 
Breer P1a;Pistol;Laser;22.0;9;37;3.9;0.289;200;2.289;556.00;0;2.733;47.5;Yes;Crafted; 
Breer P1a (L);Pistol;Laser;22.0;9;37;3.9;0.235;200;2.235;17.30;0;2.799;51.2;Yes;Crafted; 
Breer P2a;Pistol;Laser;26.4;11;47;6.0;0.705;200;2.705;1696.00;0;2.826;53.2;Yes;Crafted; 
Breer P2a (L);Pistol;Laser;26.4;11;47;6.0;0.653;200;2.653;29.75;0;2.882;57.2;Yes;Crafted; 
Breer P3a;Pistol;Laser;24.2;16;41;7.6;0.988;300;3.988;2576.00;250.00 PED;2.788;52.9;Yes;Crafted; 
Breer P3a (L);Pistol;Laser;24.2;16;41;7.6;0.862;300;3.862;48.90;0;2.879;56.9;Yes;Crafted; 
Breer P4a;Pistol;Laser;25.3;28;48;15.6;1.005;600;7.005;4596.00;0;2.778;52.8;Yes;Crafted; 
Breer P4a (L);Pistol;Laser;25.3;28;48;15.6;0.766;600;6.766;188.00;0;2.876;56.8;Yes;Crafted; 
Breer P5a;Pistol;Laser;33.0;41;52;24.7;1.120;900;10.120;6536.00;0;2.816;52.1;Yes;Crafted; 
Breer P5a (L);Pistol;Laser;33.0;41;52;24.7;0.938;900;9.938;222.10;113.00%;2.867;56.1;Yes;Crafted; 
Brutal Road Crew Axe (L);Melee;Axes;5.0;18;40;8.3;4.260;0;4.260;42.00;278.00%;2.937;61.4;Yes;Looted; 
Brutal Road Crew Axe (L) Classic;Melee;Axes;6.0;18;42;8.8;0;0;0;83.00;0;0;65.2;Yes;Looted; 
Brutal Road Crew Axe (L) Custom;Melee;Axes;6.0;18;43;9.0;4.205;0;4.205;63.00;2721.00%;2.975;64.3;Yes;Looted; 
Brutal Road Crew Axe (L) Legendary;Melee;Axes;7.0;18;43;9.0;0;0;0;103.00;0;0;68.0;Yes;Looted; 
Brutal Rock n Roll Axe (L);Melee;Axes;5.0;38;37;16.3;0;0;0;79.50;0;0;60.5;Yes;Looted; 
BSF Kaamos (L);Pistol;Laser;31.9;62;56;40.2;1.050;1380;14.850;105.00;107.50%;2.902;58.7;Yes;Looted; 
BSF Kaamos, CDF Edition (L);Pistol;Laser;31.9;62;56;40.2;0.003;1485;14.853;0.60;0;2.901;58.6;Yes;Daily Token Trader; 
Bukin's Blade;Melee;Shortblades;5.0;7;78;6.3;1.700;0;1.700;34.00;4.00 PED;2.862;55.7;Yes;Mission; 
Bukin's Spare Rifle;Rifle;Laser;57.2;6;44;3.1;0.137;131;1.447;10.50;0;2.882;57.2;Yes;Mission; 
Bukin's Spare Rifle, Adjusted;Rifle;Laser;66.0;7;44;3.6;0.137;155;1.687;10.50;0;2.884;57.3;Yes;Mission; 
C&L Longbeach (L);Melee;Longblades;11.0;70;30;24.3;16.580;0;16.580;288.00;0;2.934;61.1;Yes;Looted; 
